ORF,Name,Allele,Strain ID,Num_cells,Num_cells_outliers,Penetrance,normal,Cluster_normal-0,Cluster_normal-1,Cluster_normal-2,Cluster_normal-3,Cluster_normal-4,Cluster_normal-5,Cluster_normal-6,Cluster_normal-7,Cluster_normal-8,Cluster_normal-9
YPL255W,BBP1,bbp1-1,tsa691-37C,422,86,0.2037914691943128,1.0,0.0697674418604651,0.0,0.127906976744186,0.0,0.0,0.127906976744186,0.2558139534883721,0.0,0.1627906976744186,0.2558139534883721
YDL030W,PRP9,prp9-1,tsa597-37C,367,173,0.4713896457765668,1.0,0.1040462427745664,0.0,0.1329479768786127,0.0635838150289017,0.0,0.2080924855491329,0.1329479768786127,0.0,0.2601156069364161,0.0982658959537572
YKR086W,PRP16,prp16-2,tsa598-37C,753,255,0.3386454183266932,1.0,0.1176470588235294,0.0078431372549019,0.0588235294117647,0.1176470588235294,0.0,0.2784313725490196,0.0862745098039215,0.0,0.2431372549019607,0.0901960784313725
YLR103C,CDC45,cdc45-27,tsa694-37C,709,184,0.2595204513399153,1.0,0.1521739130434782,0.0054347826086956,0.0489130434782608,0.0163043478260869,0.0,0.1521739130434782,0.233695652173913,0.0,0.1304347826086956,0.2608695652173913
YDR082W,STN1,stn1-13,tsa599-37C,293,110,0.3754266211604095,1.0,0.0272727272727272,0.0363636363636363,0.0818181818181818,0.0272727272727272,0.0,0.1909090909090909,0.1727272727272727,0.0,0.1454545454545454,0.3181818181818182
YDR182W,CDC1,cdc1-6,tsa414-37C,240,140,0.5833333333333334,1.0,0.0071428571428571,0.0785714285714285,0.1214285714285714,0.0285714285714285,0.0,0.1571428571428571,0.1428571428571428,0.0,0.4214285714285714,0.0428571428571428
YKR086W,PRP16,prp16-ts,tsa644-37C,321,66,0.205607476635514,1.0,0.0606060606060606,0.0,0.0909090909090909,0.0454545454545454,0.0,0.1515151515151515,0.1515151515151515,0.0,0.3787878787878788,0.1212121212121212
YOL135C,MED7,med7-141,tsa740-37C,528,313,0.5928030303030303,1.0,0.0511182108626198,0.0063897763578274,0.0638977635782747,0.1565495207667731,0.0,0.3003194888178914,0.0383386581469648,0.0,0.3099041533546325,0.0734824281150159
YBR193C,MED8,med8-51,tsa741-37C,671,541,0.8062593144560357,1.0,0.0129390018484288,0.0462107208872458,0.155268022181146,0.011090573012939,0.0,0.144177449168207,0.0314232902033271,0.0,0.4861367837338262,0.1127541589648798
YGL001C,ERG26,erg26-1,tsa742-37C,905,196,0.2165745856353591,1.0,0.1887755102040816,0.0051020408163265,0.173469387755102,0.0306122448979591,0.0,0.1224489795918367,0.1887755102040816,0.0,0.1836734693877551,0.1071428571428571
YIL143C,SSL2,ssl2-ts,tsa648-37C,437,97,0.2219679633867277,1.0,0.0824742268041237,0.1958762886597938,0.0721649484536082,0.0824742268041237,0.0,0.1546391752577319,0.0412371134020618,0.0,0.3092783505154639,0.0618556701030927
YIL115C,NUP159,nup159-1,tsa553-37C,411,239,0.5815085158150851,1.0,0.0167364016736401,0.0418410041841004,0.1799163179916318,0.0209205020920502,0.0,0.1841004184100418,0.1338912133891213,0.0,0.2845188284518828,0.1380753138075313
YGR218W,CRM1,crm1-1,tsa460-37C,817,396,0.4847001223990208,1.0,0.0353535353535353,0.0126262626262626,0.2323232323232323,0.0277777777777777,0.0,0.154040404040404,0.0959595959595959,0.0,0.3257575757575757,0.1161616161616161
YGR091W,PRP31,prp31-ts,tsa400-37C,412,84,0.203883495145631,1.0,0.25,0.0,0.0714285714285714,0.0357142857142857,0.0,0.1785714285714285,0.238095238095238,0.0,0.1309523809523809,0.0952380952380952
YJL203W,PRP21,prp21-ts,tsa401-37C,804,275,0.3420398009950249,1.0,0.0945454545454545,0.0,0.1418181818181818,0.0327272727272727,0.0,0.1309090909090909,0.1709090909090909,0.0,0.3127272727272727,0.1163636363636363
YPR178W,PRP4,prp4-1,tsa500-37C,827,252,0.3047158403869408,1.0,0.1111111111111111,0.0119047619047619,0.1547619047619047,0.0238095238095238,0.0,0.123015873015873,0.1587301587301587,0.0,0.2658730158730158,0.1507936507936507
YLR008C,PAM18,pam18-1,tsa501-37C,934,287,0.3072805139186295,1.0,0.1114982578397212,0.0034843205574912,0.1428571428571428,0.048780487804878,0.0,0.229965156794425,0.1672473867595819,0.0,0.205574912891986,0.0905923344947735
YDR228C,PCF11,pcf11-2,tsa685-37C,475,338,0.7115789473684211,1.0,0.0029585798816568,0.0177514792899408,0.2544378698224852,0.0088757396449704,0.0,0.1213017751479289,0.0828402366863905,0.0,0.3964497041420118,0.1153846153846153
YDR228C,PCF11,pcf11-ts2,tsa686-37C,427,324,0.7587822014051522,1.0,0.0123456790123456,0.0493827160493827,0.2469135802469135,0.0,0.0,0.1172839506172839,0.1018518518518518,0.0,0.4012345679012346,0.0709876543209876
YFL038C,YPT1,ypt1-3,tsa591-37C,437,211,0.482837528604119,1.0,0.0,0.0,0.1469194312796208,0.0473933649289099,0.0,0.1374407582938388,0.4597156398104265,0.0,0.0947867298578199,0.1137440758293838
YGL022W,STT3,stt3-7,tsa544-37C,257,95,0.3696498054474708,1.0,0.0526315789473684,0.0105263157894736,0.1894736842105263,0.031578947368421,0.0,0.1473684210526315,0.1894736842105263,0.0,0.1578947368421052,0.2210526315789473
YLR045C,STU2,stu2-12,tsa550-37C,765,171,0.2235294117647059,1.0,0.1052631578947368,0.0,0.0701754385964912,0.0292397660818713,0.0,0.1578947368421052,0.239766081871345,0.0,0.1111111111111111,0.2865497076023391
YBR055C,PRP6,prp6-1,tsa455-37C,776,268,0.345360824742268,1.0,0.1380597014925373,0.0074626865671641,0.0783582089552238,0.1231343283582089,0.0,0.1865671641791045,0.1641791044776119,0.0,0.1940298507462686,0.1082089552238805
YDR292C,SRP101,srp101-47,tsa733-37C,952,286,0.3004201680672269,1.0,0.1153846153846153,0.0,0.0174825174825174,0.5,0.0,0.1888111888111888,0.0384615384615384,0.0,0.0839160839160839,0.0559440559440559
YMR240C,CUS1,cus1-3,tsa639-37C,723,297,0.4107883817427386,1.0,0.0639730639730639,0.0033670033670033,0.138047138047138,0.0303030303030303,0.0,0.1313131313131313,0.1818181818181818,0.0,0.3063973063973064,0.1447811447811448
YGR006W,PRP18,prp18-1202,tsa430-37C,176,101,0.5738636363636364,1.0,0.0198019801980198,0.0099009900990099,0.1089108910891089,0.0198019801980198,0.0,0.1485148514851485,0.0891089108910891,0.0,0.5247524752475248,0.0792079207920792
YGR158C,MTR3,mtr3-ts,tsa614-37C,202,54,0.2673267326732673,1.0,0.037037037037037,0.0,0.0925925925925925,0.037037037037037,0.0,0.1851851851851851,0.1481481481481481,0.0,0.3148148148148148,0.1851851851851851
YML105C,SEC65,sec65-1,tsa710-37C,819,256,0.3125763125763126,1.0,0.203125,0.0,0.00390625,0.578125,0.0,0.109375,0.03125,0.0,0.05859375,0.015625
YDL087C,LUC7,luc7-1,tsa711-37C,891,189,0.2121212121212121,1.0,0.2328042328042328,0.0,0.1005291005291005,0.0634920634920634,0.0,0.1216931216931216,0.2804232804232804,0.0,0.1375661375661375,0.0634920634920634
YKL006C-A,SFT1,sft1-15,tsa619-37C,436,235,0.5389908256880734,1.0,0.0212765957446808,0.076595744680851,0.0851063829787234,0.1361702127659574,0.0,0.1872340425531914,0.0638297872340425,0.0,0.4127659574468085,0.0170212765957446
YKL173W,SNU114,snu114-60,tsa621-37C,550,112,0.2036363636363636,1.0,0.1517857142857142,0.0,0.1339285714285714,0.0714285714285714,0.0,0.1428571428571428,0.2946428571428571,0.0,0.1071428571428571,0.0982142857142857
YLR066W,SPC3,spc3-4,tsa623-37C,409,275,0.6723716381418093,1.0,0.0145454545454545,0.0181818181818181,0.1054545454545454,0.0618181818181818,0.0,0.1345454545454545,0.12,0.0,0.4254545454545455,0.12
YEL002C,WBP1,wbp1-2,tsa581-37C,133,58,0.4360902255639097,1.0,0.0517241379310344,0.0,0.1724137931034483,0.0,0.0,0.293103448275862,0.0344827586206896,0.0,0.1551724137931034,0.293103448275862
YDR002W,YRB1,yrb1-51,tsa582-37C,154,96,0.6233766233766234,1.0,0.0104166666666666,0.0,0.2395833333333333,0.0104166666666666,0.0,0.1041666666666666,0.1458333333333333,0.0,0.2083333333333333,0.28125
YDR013W,PSF1,psf1-1,tsa583-37C,292,67,0.2294520547945205,1.0,0.0597014925373134,0.0,0.1343283582089552,0.0149253731343283,0.0,0.1940298507462686,0.208955223880597,0.0,0.0895522388059701,0.2985074626865671
YDR228C,PCF11,pcf11-ts10,tsa679-37C,469,237,0.5053304904051172,1.0,0.0421940928270042,0.0084388185654008,0.189873417721519,0.0590717299578059,0.0,0.1561181434599156,0.1856540084388185,0.0,0.2489451476793249,0.1097046413502109
YDR062W,LCB2,lcb2-16,tsa585-37C,273,108,0.3956043956043956,1.0,0.0185185185185185,0.0092592592592592,0.0925925925925925,0.0185185185185185,0.0,0.287037037037037,0.0925925925925925,0.0,0.3148148148148148,0.1666666666666666
YDR062W,LCB2,lcb2-1,tsa586-37C,822,274,0.3333333333333333,1.0,0.072992700729927,0.010948905109489,0.1824817518248175,0.010948905109489,0.0,0.1204379562043795,0.145985401459854,0.0,0.2700729927007299,0.1861313868613138
YDR062W,LCB2,lcb2-19,tsa587-37C,601,279,0.4642262895174708,1.0,0.053763440860215,0.0,0.2043010752688172,0.03584229390681,0.0,0.1254480286738351,0.089605734767025,0.0,0.3369175627240143,0.1541218637992831
YMR308C,PSE1,pse1-41,tsa683-37C,598,121,0.2023411371237458,1.0,0.2479338842975206,0.0,0.0909090909090909,0.0330578512396694,0.0,0.1652892561983471,0.1983471074380165,0.0,0.0909090909090909,0.1735537190082644
